Tag,Value
256,4608
257,3456
34853,{}
296,2
34665,218
271,Xiaomi
272,Redmi Note 9 Pro
274,1
306,2022:10:03 10:36:28
531,1
282,72.0
283,72.0
36864,b'0220'
37121,b'\x01\x02\x03\x00'
40962,4608
40963,3456
36868,2022:10:03 10:36:28
40965,5746
41990,0
37383,2
37384,21
37385,16
37386,3.74
34953,HDR
41989,4
37381,2.33
40961,1
37520,056051
37521,056051
37522,056051
36867,2022:10:03 10:36:28
34965,0
37377,5.058
41495,1
39321,"{""mirror"":true,""?sensor_type"":""front"",""Hdr"":""auto"",""OpMode"":36865,""AIScene"":0,""FilterId"":66048,""ZoomMultiple"":1}"
33434,0.030303030303030304
37378,2.33
33437,2.25
41729,b'\x01'
37379,1.81
34850,2
37380,0.0
34855,168
